year,relative_yield,density
2000,0.1,0.008083567152183231
2000,0.10726817042606517,0.008825951004897506
2000,0.11453634085213033,0.009629007119481113
2000,0.1218045112781955,0.010496978279929457
2000,0.12907268170426064,0.011434339473666792
2000,0.13634085213032582,0.01244580491436659
2000,0.14360902255639096,0.013536334736242444
2000,0.15087719298245614,0.014711141292027273
2000,0.1581453634085213,0.015975694982314624
2000,0.16541353383458646,0.01733572953946347
2000,0.17268170426065163,0.01879724668491901
2000,0.1799498746867168,0.020366520074632435
2000,0.18721804511278195,0.02205009844333418
2000,0.1944862155388471,0.02385480785479188
2000,0.2017543859649123,0.02578775296193601
2000,0.20902255639097744,0.027856317177935963
2000,0.2162907268170426,0.030068161657032723
2000,0.22355889724310776,0.03243122298225812
2000,0.23082706766917294,0.03495370945617736
2000,0.23809523809523808,0.037644095890558484
2000,0.24536340852130326,0.04051111679148133
2000,0.25263157894736843,0.04356375783792747
2000,0.2598997493734336,0.046811245554418
2000,0.2671679197994987,0.050263035081859336
2000,0.2744360902255639,0.05392879595548591
2000,0.28170426065162907,0.05781839580471324
2000,0.2889724310776942,0.0619418818968882
2000,0.2962406015037594,0.06630946045538658
2000,0.30350877192982456,0.07093147369229601
2000,0.3107769423558897,0.07581837450705317
2000,0.3180451127819549,0.08098069881488236
2000,0.32531328320802,0.08642903548270303
2000,0.3325814536340852,0.09217399386530922
2000,0.3398496240601504,0.09822616895102546
2000,0.3471177944862155,0.1045961041436665
2000,0.3543859649122807,0.11129425172637238
2000,0.3616541353383459,0.11833093107266927
2000,0.368922305764411,0.12571628469080132
2000,0.3761904761904762,0.1334602322088406
2000,0.3834586466165414,0.14157242243015858
2000,0.3907268170426065,0.1500621836113623
2000,0.3979949874686717,0.15893847213754725
2000,0.40526315789473677,0.16820981979250293
2000,0.41253132832080197,0.17788427984408844
2000,0.4197994987468672,0.1879693721871295
2000,0.42706766917293226,0.19847202780763293
2000,0.43433583959899746,0.20939853285259552
2000,0.44160401002506267,0.22075447260893977
2000,0.44887218045112776,0.23254467571287346
2000,0.45614035087719296,0.2447731589269591
2000,0.46340852130325816,0.2574430728361399
2000,0.47067669172932325,0.2705566488256397
2000,0.47794486215538845,0.2841151477127839
2000,0.48521303258145365,0.298118810411144
2000,0.49248120300751874,0.31256681100879513
2000,0.49974937343358394,0.32745721264268074
2000,0.5070175438596491,0.3427869265479532
2000,0.5142857142857142,0.3585516746545832
2000,0.5215538847117794,0.3747459560933785
2000,0.5288220551378446,0.3913630179597914
2000,0.5360902255639097,0.40839483066649734
2000,0.5433583959899749,0.4258320681947029
2000,0.55062656641604,0.4436640935295612
2000,0.5578947368421052,0.4618789495370764
2000,0.5651629072681704,0.48046335550854935
2000,0.5724310776942355,0.49940270956424354
